Date,Event
23/8/2021,School Start
24/8/2021,School Start
25/8/2021,School Start
26/8/2021,School Start
27/8/2021,School Start
28/8/2021,School Start
29/8/2021,School Start
30/8/2021,School Start
31/8/2021,School Start
1/9/2021,School Start
2/9/2021,School Start
3/9/2021,School Start
4/9/2021,School Start
5/9/2021,School Start
20/2/2002,Hajj
21/2/2002,Hajj
22/2/2002,Hajj
23/2/2002,Hajj
24/2/2002,Hajj
25/2/2002,Hajj
9/2/2003,Hajj
10/2/2003,Hajj
11/2/2003,Hajj
12/2/2003,Hajj
13/2/2003,Hajj
14/2/2003,Hajj
30/1/2004,Hajj
31/1/2004,Hajj
1/2/2004,Hajj
2/2/2004,Hajj
3/2/2004,Hajj
4/2/2004,Hajj
18/1/2005,Hajj
19/1/2005,Hajj
20/1/2005,Hajj
21/1/2005,Hajj
22/1/2005,Hajj
23/1/2005,Hajj
7/1/2006,Hajj
8/1/2006,Hajj
9/1/2006,Hajj
10/1/2006,Hajj
11/1/2006,Hajj
12/1/2006,Hajj
28/12/2006,Hajj
29/12/2006,Hajj
30/12/2006,Hajj
31/12/2006,Hajj
1/1/2007,Hajj
2/1/2007,Hajj
17/12/2007,Hajj
18/12/2007,Hajj
19/12/2007,Hajj
20/12/2007,Hajj
21/12/2007,Hajj
22/12/2007,Hajj
6/12/2008,Hajj
7/12/2008,Hajj
8/12/2008,Hajj
9/12/2008,Hajj
10/12/2008,Hajj
11/12/2008,Hajj
25/11/2009,Hajj
26/11/2009,Hajj
27/11/2009,Hajj
28/11/2009,Hajj
29/11/2009,Hajj
30/11/2009,Hajj
14/11/2010,Hajj
15/11/2010,Hajj
16/11/2010,Hajj
17/11/2010,Hajj
18/11/2010,Hajj
19/11/2010,Hajj
4/11/2011,Hajj
5/11/2011,Hajj
6/11/2011,Hajj
7/11/2011,Hajj
8/11/2011,Hajj
9/11/2011,Hajj
23/10/2012,Hajj
24/10/2012,Hajj
25/10/2012,Hajj
26/10/2012,Hajj
27/10/2012,Hajj
28/10/2012,Hajj
12/10/2013,Hajj
13/10/2013,Hajj
14/10/2013,Hajj
15/10/2013,Hajj
16/10/2013,Hajj
17/10/2013,Hajj
2/10/2014,Hajj
3/10/2014,Hajj
4/10/2014,Hajj
5/10/2014,Hajj
6/10/2014,Hajj
7/10/2014,Hajj
21/9/2015,Hajj
