No.,Unit weight,Cohesion,Friction angle,Angle of slope,Height of slope,Pore water pressure,Safety factor,Safety factor classification,Stability,Reference,Reference
200,20.39,33.45,10.98,16.01,45.8,0.1,1.28,0,F,Li and Wang,2010
201,19.03,11.7,27.99,34.98,21,0.06,1.09,0,F,Li and Wang,2010
202,17.98,4.95,30.02,19.98,8,0.15,2.05,1,S,Li and Wang,2010
203,20.96,19.95,40.01,40.02,12,0,1.84,1,S,Li and Wang,2010
204,20.96,34.95,27.99,40.02,12,0.25,1.43,0,F,Li and Wang,2010
205,19.97,10.05,28.98,34.03,6,0.15,1.34,0,F,Li and Wang,2010
206,18.77,30,9.99,25.02,50,0.05,1.4,0,F,Li and Wang,2010
207,18.77,30,19.98,30,50,0.05,1.46,0,F,Li and Wang,2010
208,18.77,25.05,19.98,30,50,0.1,1.21,0,F,Li and Wang,2010
209,20.56,16.2,26.51,30,40,0,1.25,0,F,Li and Wang,2010
210,16.47,11.55,0,30,3.6,0,1,0,F,Li and Wang,2010
211,18.8,14.4,25.02,19.98,30.6,0,1.88,1,S,Li and Wang,2010
212,18.8,57.45,19.98,19.98,30.6,0,2.04,1,S,Li and Wang,2010
213,28.4,39.15,37.98,34.98,100,0,1.99,1,S,Li and Wang,2010
214,13.97,12,26.01,30,88,0,1.02,0,F,Li and Wang,2010
215,24.96,120,45,53,120,0,1.3,0,F,Li and Wang,2010
216,18.46,12,0,30,6,0,0.78,0,F,Li and Wang,2010
217,22.38,10.05,35.01,30,10,0,2,1,S,Li and Wang,2010
218,21.98,19.95,36,45,50,0,1.02,0,F,Li and Wang,2010
219,18.8,15.3,30.02,25.02,10.6,0.19,1.63,1,S,Li and Wang,2010
220,18.8,14.4,25.02,19.98,30.6,0.23,1.11,0,F,Li and Wang,2010
221,21.47,6.9,30.02,31.01,76.8,0.19,1.01,0,F,Li and Wang,2010
222,13.97,12,26.01,30,88,0.23,0.63,0,F,Li and Wang,2010
223,17.98,24,30.15,45,20,0.06,1.12,0,F,Li and Wang,2010
224,22.38,99.9,45,45,15,0.13,1.8,1,S,Li and Wang,2010
225,22.38,10.05,35.01,45,10,0.2,0.9,0,F,Li and Wang,2010
226,19.97,19.95,36,45,50,0.13,0.96,0,F,Li and Wang,2010
227,19.97,19.95,36,45,50,0.25,0.83,0,F,Li and Wang,2010
228,20.96,45,25.02,49.03,12,0.15,1.53,1,S,Li and Wang,2010
229,20.96,30,35.01,40.02,12,0.2,1.49,0,F,Li and Wang,2010
230,19.97,40.05,30.02,30,15,0.15,1.84,1,S,Li and Wang,2010
231,17.98,45,25.02,25.02,14,0.15,2.09,1,S,Li and Wang,2010
232,18.97,30,35.01,34.98,11,0.1,2,1,S,Li and Wang,2010
233,19.97,40.05,40.01,40.02,10,0.1,2.31,1,S,Li and Wang,2010
234,18.83,24.75,21.29,29.2,37,0.25,1.07,0,F,Li and Wang,2010
235,18.83,10.35,21.29,34.03,37,0.15,1.29,0,F,Li and Wang,2010
236,18.77,25.05,9.99,25.02,50,0.1,1.18,0,F,Li and Wang,2010
237,18.77,19.95,9.99,25.02,50,0.15,0.97,0,F,Li and Wang,2010
238,19.08,10.05,9.99,25.02,50,0.2,0.65,0,F,Li and Wang,2010
239,18.77,19.95,19.98,30,50,0.15,1,0,F,Li and Wang,2010
240,19.08,10.05,19.98,30,50,0.2,0.65,0,F,Li and Wang,2010
241,21.98,19.95,22.01,19.98,180,0,1.12,0,F,Li and Wang,2010
242,21.98,19.95,22.01,19.98,180,0.05,0.99,0,F,Li and Wang,2010
243,26.49,150,33,45,73,0.15,1.23,0,F,_bookmark94,1999
244,26.7,150,33,50,130,0.25,1.8,1,S,Xu and Xie,1999
245,26.89,150,33,52,120,0.25,1.8,1,S,Xu and Xie,1999
246,26.57,300,38.7,45.3,80,0.15,1.18,0,F,Xu and Xie,1999
247,26.78,300,38.7,54,155,0.25,1.2,0,F,Xu and Xie,1999
248,26.81,200,35,58,138,0.25,1.2,0,F,Xu and Xie,1999
249,26.43,50,26.6,40,92.2,0.15,1.25,0,F,Xu and Xie,1999
250,26.7,50,26.6,50,170,0.25,1.25,0,F,Xu and Xie,1999
251,26.8,60,28.8,59,108,0.25,1.25,0,F,Xu and Xie,1999
252,25,55,36,45,239,0.25,1.71,1,S,_bookmark64,2009
253,25,63,32,44.5,239,0.25,1.49,0,F,Haiming et al.,2009
254,25,63,32,46,300,0.25,1.45,0,F,Haiming et al.,2009
255,25,48,40,45,330,0.25,1.62,1,S,Haiming et al.,2009
256,31.3,68.6,37,47.5,262.5,0.25,1.2,0,F,Haiming et al.,2009
257,31.3,68.6,37,47,270,0.25,1.2,0,F,Haiming et al.,2009
258,31.3,58.8,35.5,47.5,438.5,0.25,1.2,0,F,Haiming et al.,2009
259,31.3,58.8,35.5,47.5,502.7,0.25,1.2,0,F,Haiming et al.,2009
260,31.3,68,37,47,360.5,0.25,1.2,0,F,Haiming et al.,2009
