Unit weight,Cohesion,Friction angle,Angle of slope,Height of slope,Pore water pressure,Safety factor,lin reg,poly_reg,rf,DST,SVR,knn,DL
22.0,0.0,36.0,45.0,50.0,0.0,0.89,1.4160438788703946,1.1229397443371325,0.889999999999997,0.9766666666666667,0.9516026806392002,0.89,0.980087
12.0,0.0,30.0,35.0,4.0,0.0,1.46,1.3159552271936488,1.209919948791443,1.4600000000000009,1.275,1.3706253223872,1.46,1.454639
12.0,0.0,30.0,45.0,8.0,0.0,0.8,1.147246149226132,0.8455109471337028,0.8600000000000025,1.0333333333333334,0.9212623608767398,0.86,1.0689929
12.0,0.0,30.0,35.0,4.0,0.0,1.44,1.3159552271936488,1.209919948791443,1.4600000000000009,1.275,1.3706253223872,1.46,1.454639
12.0,0.0,30.0,45.0,8.0,0.0,0.86,1.147246149226132,0.8455109471337028,0.8600000000000025,1.0333333333333334,0.9212623608767398,0.86,1.0689929
23.47,0.0,32.0,37.0,214.0,0.0,1.08,1.3717022144298758,1.224170123245568,1.2067052631578943,1.12,1.0012370760878544,1.0389183905145993,1.0647905
20.41,24.9,13.0,22.0,10.67,0.35,1.4,1.2035009103283312,1.3513046898352854,1.39505263157895,1.4,1.3976736552380615,1.2166713929128543,1.4636148
19.63,11.97,20.0,22.0,12.19,0.41,1.35,1.2883152591259344,1.2623168933003197,1.349999999999996,1.4033333333333333,1.2885653164188107,1.35,1.2834802
21.82,8.62,32.0,28.0,12.8,0.49,1.03,1.4249124185741497,1.409787400235054,1.030000000000001,0.9433333333333334,1.0911632215666816,1.03,0.9793375
20.41,33.52,11.0,16.0,45.72,0.2,1.28,1.3123519318117627,1.355257785272596,1.280000000000001,1.28,1.3410440787486217,1.28,1.3243307
18.84,15.32,30.0,25.0,10.67,0.38,1.63,1.4380632771087696,1.6609661077334488,1.6299999999999966,1.63,1.6914829004064311,1.63,1.7987229
18.84,0.0,20.0,20.0,7.62,0.45,1.05,1.283150371227347,1.02134696351725,1.256894736842106,1.4033333333333333,1.1659455997320696,1.2269957887678897,1.1757498
21.43,0.0,20.0,20.0,61.0,0.5,1.03,1.2667687703551882,0.7009544825796872,0.9346315789473684,0.75,0.872141444730772,1.164914289813699,1.014893
19.06,11.71,28.0,35.0,21.0,0.11,1.09,1.350935584154516,1.3101891108372439,1.0900000000000027,1.09,1.2192994787486213,1.09,1.1871121
18.84,14.36,25.0,20.0,30.5,0.45,1.11,1.3745819258667638,1.3610652897000504,1.1100000000000052,1.11,1.1752966381508871,1.11,1.2235265
21.51,6.94,30.0,31.0,76.81,0.38,1.01,1.330807553740988,1.036627525311995,1.0099999999999985,1.01,0.984892768241596,1.01,0.96166193
14.0,11.97,26.0,30.0,88.0,0.45,0.63,1.0943249867231848,0.7553580765850874,0.6299999999999986,0.64,0.6910357099916034,0.63,0.7678353
18.0,24.0,30.0,45.0,20.0,0.12,1.12,1.210467834142768,1.185083840098343,1.1234210526315818,1.0333333333333334,1.1171960656002498,1.0884804794244016,1.1399966
23.0,0.0,20.0,20.0,100.0,0.3,1.2,1.3578459847782112,0.9238873626371352,1.1999999999999962,1.085,1.1386617128476713,1.2,1.2411121
22.4,10.0,35.0,45.0,10.0,0.4,0.9,1.257458628537794,1.1186961785515044,0.9000000000000031,0.9433333333333334,1.020412913489638,0.9,1.1691245
20.0,20.0,36.0,45.0,50.0,0.25,0.96,1.2791734783081574,1.2015955304440367,0.9376315789473698,1.01,1.108911192687516,0.9206740841375162,0.89734733
20.0,20.0,36.0,45.0,50.0,0.5,0.83,1.1640260144203867,1.0739487741982707,0.8300000000000012,0.95,0.8907388198775079,0.83,0.8298334
20.0,0.0,36.0,45.0,50.0,0.25,0.79,1.2642962805588696,0.9279951475298128,0.7900000000000011,0.88,0.8513240866726234,0.79,0.82614464
20.0,0.0,36.0,45.0,50.0,0.5,0.67,1.1491488166710988,0.67410237408207,0.6700000000000015,0.75,0.7308485821241651,0.67,0.7674302
22.0,0.0,40.0,33.0,8.0,0.35,1.45,1.564258807905058,1.6215374190370735,1.4499999999999948,1.175,1.5114305020861134,1.45,1.5849825
24.0,0.0,40.0,33.0,8.0,0.3,1.58,1.6238884351063665,1.7548539735500062,1.6288842105263126,1.175,1.5897074348249576,1.5627063142819613,1.6061801
