iter	Passed	Remaining
574	10268	7589
575	10284	7570
576	10300	7551
577	10317	7532
578	10333	7513
579	10350	7495
580	10368	7477
581	10386	7459
582	10402	7440
583	10419	7422
584	10436	7403
585	10454	7386
586	10473	7369
587	10491	7351
588	10508	7332
589	10528	7316
590	10547	7299
591	10564	7280
592	10582	7262
593	10598	7244
594	10616	7226
595	10633	7207
596	10650	7189
597	10667	7171
598	10685	7153
599	10703	7135
600	10721	7117
601	10739	7100
602	10756	7081
603	10774	7063
604	10790	7045
605	10807	7026
606	10825	7008
607	10844	6992
608	10861	6973
609	10878	6955
610	10896	6937
611	10914	6919
612	10933	6902
613	10950	6884
614	10967	6865
615	10985	6848
616	11003	6830
617	11024	6814
618	11047	6799
619	11083	6793
620	11105	6777
621	11121	6758
622	11140	6741
623	11158	6723
624	11175	6705
625	11195	6688
626	11213	6671
627	11232	6653
628	11250	6636
629	11270	6619
630	11287	6601
631	11306	6583
632	11325	6566
633	11348	6551
634	11370	6535
635	11386	6516
636	11405	6499
637	11422	6480
638	11440	6463
639	11457	6445
640	11475	6427
641	11492	6408
642	11508	6389
643	11525	6371
644	11542	6352
645	11559	6334
646	11576	6316
647	11593	6297
648	11609	6278
649	11627	6260
650	11644	6242
651	11662	6224
652	11679	6206
653	11695	6187
654	11712	6169
655	11729	6150
656	11745	6132
657	11763	6114
658	11781	6096
659	11798	6078
660	11816	6060
661	11833	6042
662	11850	6023
663	11868	6005
664	11885	5987
665	11902	5969
666	11919	5950
667	11935	5932
668	11953	5914
669	11970	5895
670	11988	5878
671	12006	5860
672	12022	5841
673	12038	5822
674	12054	5804
675	12067	5783
676	12085	5766
677	12105	5749
678	12125	5732
679	12143	5714
680	12161	5696
681	12181	5679
682	12201	5663
683	12223	5646
684	12240	5628
685	12258	5611
686	12275	5592
687	12291	5574
688	12309	5556
689	12326	5538
690	12346	5521
691	12365	5503
692	12381	5485
693	12399	5467
694	12416	5448
695	12433	5430
696	12450	5412
697	12468	5394
698	12485	5376
699	12505	5359
700	12523	5341
701	12541	5323
702	12559	5306
703	12572	5286
704	12589	5267
705	12606	5249
706	12622	5231
707	12640	5213
708	12658	5195
709	12675	5177
710	12693	5159
711	12711	5141
712	12727	5123
713	12744	5104
714	12762	5087
715	12779	5068
716	12797	5050
717	12813	5032
718	12831	5014
719	12848	4996
720	12866	4978
721	12883	4960
722	12901	4942
723	12921	4925
724	12938	4907
725	12955	4889
726	12972	4871
727	12990	4853
728	13008	4835
729	13026	4817
730	13043	4799
731	13062	4782
732	13079	4764
733	13097	4746
734	13113	4728
735	13132	4710
736	13148	4692
737	13166	4674
738	13182	4655
739	13199	4637
740	13216	4619
741	13233	4601
742	13250	4583
743	13266	4564
744	13284	4547
745	13301	4528
746	13317	4510
747	13337	4493
748	13354	4475
749	13371	4457
750	13386	4438
751	13402	4420
752	13420	4402
753	13437	4384
754	13454	4365
755	13470	4347
756	13487	4329
757	13504	4311
758	13521	4293
759	13538	4275
760	13555	4257
761	13572	4239
762	13588	4220
763	13605	4202
764	13623	4184
765	13640	4166
766	13658	4149
767	13676	4131
768	13694	4113
769	13711	4095
770	13727	4077
771	13745	4059
772	13763	4041
773	13780	4023
774	13798	4005
775	13814	3987
776	13831	3969
777	13850	3952
778	13868	3934
779	13887	3916
780	13904	3898
781	13921	3880
782	13939	3863
783	13956	3845
784	13973	3827
785	13991	3809
786	14008	3791
787	14025	3773
788	14043	3755
789	14061	3737
790	14079	3720
791	14097	3702
792	14115	3684
793	14133	3666
794	14150	3648
795	14167	3630
796	14185	3613
797	14204	3595
798	14221	3577
799	14238	3559
800	14255	3541
801	14272	3523
802	14290	3505
803	14306	3487
804	14325	3470
805	14345	3452
806	14360	3434
807	14377	3416
808	14395	3398
809	14411	3380
810	14428	3362
811	14446	3344
812	14463	3326
813	14480	3308
814	14498	3290
815	14514	3272
816	14532	3255
817	14548	3236
818	14566	3219
819	14583	3201
820	14601	3183
821	14619	3165
822	14637	3148
823	14655	3130
824	14672	3112
825	14690	3094
826	14707	3076
827	14725	3059
828	14743	3041
829	14760	3023
830	14777	3005
831	14794	2987
832	14811	2969
833	14828	2951
834	14846	2933
835	14864	2915
836	14881	2898
837	14898	2880
838	14916	2862
839	14934	2844
840	14951	2826
841	14969	2809
842	14986	2791
843	15004	2773
844	15022	2755
845	15038	2737
846	15057	2719
847	15074	2702
848	15091	2684
849	15108	2666
850	15126	2648
851	15143	2630
852	15160	2612
853	15177	2594
854	15193	2576
855	15211	2558
856	15229	2541
857	15247	2523
858	15266	2505
859	15285	2488
860	15302	2470
861	15320	2452
862	15338	2434
863	15355	2417
864	15373	2399
865	15391	2381
866	15407	2363
867	15426	2345
868	15443	2328
869	15462	2310
870	15479	2292
871	15498	2274
872	15515	2257
873	15533	2239
874	15552	2221
875	15569	2203
876	15587	2186
877	15605	2168
878	15622	2150
879	15651	2134
880	15672	2116
881	15688	2098
882	15705	2081
883	15723	2063
884	15741	2045
885	15760	2027
886	15776	2009
887	15794	1992
888	15811	1974
889	15827	1956
890	15844	1938
891	15861	1920
892	15877	1902
893	15894	1884
894	15910	1866
895	15927	1848
896	15945	1830
897	15961	1813
898	15978	1795
899	15995	1777
900	16012	1759
901	16028	1741
902	16047	1723
903	16064	1705
904	16081	1688
905	16099	1670
906	16116	1652
907	16134	1634
908	16150	1616
909	16169	1599
910	16186	1581
911	16205	1563
912	16222	1545
913	16238	1527
914	16256	1510
915	16274	1492
916	16291	1474
917	16312	1457
918	16330	1439
919	16349	1421
920	16367	1403
921	16385	1386
922	16403	1368
923	16423	1350
924	16440	1332
925	16458	1315
926	16476	1297
927	16493	1279
928	16510	1261
929	16527	1243
930	16545	1226
931	16562	1208
932	16579	1190
933	16596	1172
934	16612	1154
935	16630	1137
936	16647	1119
937	16664	1101
938	16681	1083
939	16700	1066
940	16717	1048
941	16735	1030
942	16752	1012
943	16768	994
944	16785	976
945	16801	959
946	16817	941
947	16834	923
948	16852	905
949	16868	887
950	16885	870
951	16903	852
952	16919	834
953	16935	816
954	16952	798
955	16969	781
956	16986	763
957	17003	745
958	17019	727
959	17036	709
960	17053	692
961	17068	674
962	17086	656
963	17104	638
964	17122	621
965	17138	603
966	17156	585
967	17172	567
