Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
28-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
29-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.2
30-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
1-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
2-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,29
3-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
4-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.3
5-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
6-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.4
7-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
8-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
9-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.4
10-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
11-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
12-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
13-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
14-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,29
15-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,30
16-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
17-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32.2
18-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
19-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
20-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,31
21-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,30.2
22-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
23-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.4
24-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
25-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32.4
26-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
27-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
28-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
29-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
30-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32.3
31-Dec-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
1-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
2-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,31.4
3-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32
4-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,31
5-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,33
6-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32
7-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32
8-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32.4
9-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,28.3
10-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,31.4
11-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
12-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,34
13-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,33
14-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,33
15-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,35
16-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,34.4
17-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,34
18-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,36
19-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,36
20-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32
21-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,31
22-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,31
23-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,32.2
24-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,34
25-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,35
26-Jan-17,Max Temperature (Deg C),Weather,WOA,Makkah,34
