System_City_Calculated,Date,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
3700.1612903225805,2015-08-31,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127
3884.233333333333,2015-09-30,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7
2947.8709677419356,2015-10-31,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707
2225.1666666666665,2015-11-30,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667
1647.0967741935483,2015-12-31,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483
1566.1290322580646,2016-01-31,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259
1748.5862068965516,2016-02-29,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75
2303.4193548387098,2016-03-31,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063
2497.133333333333,2016-04-30,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707,2227.0666666666666
2940.516129032258,2016-05-31,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333,2818.7419354838707
3624.6098623333332,2016-06-30,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098,2869.133333333333
3195.2258064516127,2016-07-31,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805,3355.4193548387098
3280.451612903226,2016-08-31,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333,3700.1612903225805
3650.8,2016-09-30,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356,3884.233333333333
2751.7741935483873,2016-10-31,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665,2947.8709677419356
2184.4333333333334,2016-11-30,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483,2225.1666666666665
2067.6774193548385,2016-12-31,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646,1647.0967741935483
1696.258064516129,2017-01-31,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516,1566.1290322580646
1515.5714285714287,2017-02-28,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098,1748.5862068965516
