Date,Time,Datetime,System_City_Actual,Operating_Area,System_City
21-Jul-17,0:00,21JUL17:00:00,38,COA,Qassim
22-Jul-17,0:00,22JUL17:00:00,34,COA,Qassim
23-Jul-17,0:00,23JUL17:00:00,32,COA,Qassim
24-Jul-17,0:00,24JUL17:00:00,33,COA,Qassim
25-Jul-17,0:00,25JUL17:00:00,38,COA,Qassim
26-Jul-17,0:00,26JUL17:00:00,34,COA,Qassim
27-Jul-17,0:00,27JUL17:00:00,35,COA,Qassim
28-Jul-17,0:00,28JUL17:00:00,36,COA,Qassim
29-Jul-17,0:00,29JUL17:00:00,37,COA,Qassim
30-Jul-17,0:00,30JUL17:00:00,37,COA,Qassim
31-Jul-17,0:00,31JUL17:00:00,37,COA,Qassim
1-Aug-17,0:00,01AUG17:00:00,36,COA,Qassim
2-Aug-17,0:00,02AUG17:00:00,36,COA,Qassim
3-Aug-17,0:00,03AUG17:00:00,36,COA,Qassim
4-Aug-17,0:00,04AUG17:00:00,38,COA,Qassim
5-Aug-17,0:00,05AUG17:00:00,38,COA,Qassim
6-Aug-17,0:00,06AUG17:00:00,34,COA,Qassim
7-Aug-17,0:00,07AUG17:00:00,35,COA,Qassim
8-Aug-17,0:00,08AUG17:00:00,36,COA,Qassim
9-Aug-17,0:00,09AUG17:00:00,36,COA,Qassim
10-Aug-17,0:00,10AUG17:00:00,36,COA,Qassim
11-Aug-17,0:00,11AUG17:00:00,36,COA,Qassim
12-Aug-17,0:00,12AUG17:00:00,38,COA,Qassim
13-Aug-17,0:00,13AUG17:00:00,33,COA,Qassim
14-Aug-17,0:00,14AUG17:00:00,37,COA,Qassim
15-Aug-17,0:00,15AUG17:00:00,38,COA,Qassim
16-Aug-17,0:00,16AUG17:00:00,39,COA,Qassim
17-Aug-17,0:00,17AUG17:00:00,37,COA,Qassim
18-Aug-17,0:00,18AUG17:00:00,35,COA,Qassim
19-Aug-17,0:00,19AUG17:00:00,33,COA,Qassim
20-Aug-17,0:00,20AUG17:00:00,39,COA,Qassim
21-Aug-17,0:00,21AUG17:00:00,37,COA,Qassim
22-Aug-17,0:00,22AUG17:00:00,35,COA,Qassim
23-Aug-17,0:00,23AUG17:00:00,36,COA,Qassim
24-Aug-17,0:00,24AUG17:00:00,36,COA,Qassim
25-Aug-17,0:00,25AUG17:00:00,35,COA,Qassim
26-Aug-17,0:00,26AUG17:00:00,35,COA,Qassim
27-Aug-17,0:00,27AUG17:00:00,32,COA,Qassim
28-Aug-17,0:00,28AUG17:00:00,34,COA,Qassim
29-Aug-17,0:00,29AUG17:00:00,33,COA,Qassim
30-Aug-17,0:00,30AUG17:00:00,34,COA,Qassim
31-Aug-17,0:00,31AUG17:00:00,34,COA,Qassim
1-Sep-17,0:00,01SEP17:00:00,33,COA,Qassim
2-Sep-17,0:00,02SEP17:00:00,32,COA,Qassim
3-Sep-17,0:00,03SEP17:00:00,31,COA,Qassim
4-Sep-17,0:00,04SEP17:00:00,32,COA,Qassim
5-Sep-17,0:00,05SEP17:00:00,34,COA,Qassim
6-Sep-17,0:00,06SEP17:00:00,32,COA,Qassim
7-Sep-17,0:00,07SEP17:00:00,35,COA,Qassim
8-Sep-17,0:00,08SEP17:00:00,32,COA,Qassim
